area_type,location,size,society,sqrft,bathroom,facing,price_fin
Builtup,1 BHK Flat  In Riddhi Siddhi Apartment For Sale  In Matunga East,1 BHK,1 BHK Flat  In Riddhi Siddhi Apartment For Sale  In Matunga East,450 sqft,2,Don''t Know,2.8 Crores
Builtup,3 BHK Flat  In Godrej Five Garden For Sale  In Matunga  East,3 BHK,3 BHK Flat  In Godrej Five Garden For Sale  In Matunga  East,2137 sqft,3,East,9.99 Crores
Builtup,2 BHK Flat  In Pragati Paradise For Sale  In Matunga,2 BHK,2 BHK Flat  In Pragati Paradise For Sale  In Matunga,581 sqft,2,South-East,2.25 Crores
Builtup,3 BHK Apartment  In Pragati Paradise For Sale  In Matunga East,3 BHK,3 BHK Apartment  In Pragati Paradise For Sale  In Matunga East,1400 sqft,3,West,9 Crores
Builtup,"2 BHK Flat  In Johaan Signature Isle For Sale  In Wadla Village, Wadala",2 BHK,"2 BHK Flat  In Johaan Signature Isle For Sale  In Wadla Village, Wadala",928 sqft,2,East,4.2 Crores
Builtup,"3 BHK Apartment  In Hubtown Harmony, Matunga East For Sale  In Matunga East",3 BHK,"3 BHK Apartment  In Hubtown Harmony, Matunga East For Sale  In Matunga East",700 sqft,3,East,2 Crores
Builtup,2 BHK Apartment  In Hubtown Harmony For Sale  In Matunga East,2 BHK,2 BHK Apartment  In Hubtown Harmony For Sale  In Matunga East,572 sqft,2,East,1.62 Crores
Builtup,"2 BHK Flat  In Avanti Apartment For Sale  In Flank Road, Sion",2 BHK,"2 BHK Flat  In Avanti Apartment For Sale  In Flank Road, Sion",1250 sqft,2,Don''t Know,3.3 Crores
Builtup,2 BHK Apartment  In Hubtown Heaven For Sale  In Matunga,2 BHK,2 BHK Apartment  In Hubtown Heaven For Sale  In Matunga,1000 sqft,2,North,3 Crores
Builtup,2 BHK Flat  In Six A Pushpak For Sale  In Sion,2 BHK,2 BHK Flat  In Six A Pushpak For Sale  In Sion,1070 sqft,2,Don''t Know,2.7 Crores
Builtup,3 BHK Flat  In Shanta Durga For Sale  In Matunga West,3 BHK,3 BHK Flat  In Shanta Durga For Sale  In Matunga West,1700 sqft,3,West,5.3 Crores
Builtup,3 BHK Flat  In The Solitaire For Sale  In Mahim,3 BHK,3 BHK Flat  In The Solitaire For Sale  In Mahim,1368 sqft,3,West,4.5 Crores
Builtup,3 BHK Flat  In La Rose Chs For Sale  In Mahim,3 BHK,3 BHK Flat  In La Rose Chs For Sale  In Mahim,1750 sqft,3,North,5.5 Crores
Builtup,3 BHK Flat  In Prescon Midtown Bay For Sale  In Mahim West,3 BHK,3 BHK Flat  In Prescon Midtown Bay For Sale  In Mahim West,1628 sqft,3,North-East,5.68 Crores
Builtup,"3 BHK Flat  In Inez Tower For Sale  In Mahim West, Mahim",3 BHK,"3 BHK Flat  In Inez Tower For Sale  In Mahim West, Mahim",1437 sqft,3,Don''t Know,4.9 Crores
Builtup,1 BHK Apartment  In Mohini Mansion For Sale  In Mahim,1 BHK,1 BHK Apartment  In Mohini Mansion For Sale  In Mahim,650 sqft,1,Don''t Know,1.68 Crores
Builtup,1 BHK Flat  In Suraj Eterna For Sale  In Mahim West,1 BHK,1 BHK Flat  In Suraj Eterna For Sale  In Mahim West,500 sqft,1,East,1.85 Crores
Builtup,1 BHK Flat  In Suraj Vitalis For Sale  In Mahim West,1 BHK,1 BHK Flat  In Suraj Vitalis For Sale  In Mahim West,631 sqft,1,East,2.28 Crores
Builtup,2 BHK Flat  In Prem Milan Building For Sale  In Mahim,2 BHK,2 BHK Flat  In Prem Milan Building For Sale  In Mahim,805 sqft,2,East,3.4 Crores
Builtup,"2 BHK Flat  In Shreeji Villa,  For Sale  In Matunga West",2 BHK,"2 BHK Flat  In Shreeji Villa,  For Sale  In Matunga West",884 sqft,2,West,3.3 Crores
Builtup,2 BHK Flat  In S Keer Complex For Sale  In Mahim,2 BHK,2 BHK Flat  In S Keer Complex For Sale  In Mahim,1000 sqft,2,East,2.59 Crores
Builtup,2 BHK Flat  In Suraj Eterna For Sale  In Mahim,2 BHK,2 BHK Flat  In Suraj Eterna For Sale  In Mahim,904 sqft,2,East,3.16 Crores
Builtup,2 BHK Flat  In Suraj Vitalis For Sale  In Mahim West ,2 BHK,2 BHK Flat  In Suraj Vitalis For Sale  In Mahim West ,931 sqft,2,East,3.25 Crores
Builtup,"2 BHK Flat  In Muna Villa   For Sale  In Mahim West, Mahim",2 BHK,"2 BHK Flat  In Muna Villa   For Sale  In Mahim West, Mahim",800 sqft,2,West,2.85 Crores
Builtup,2 BHK Flat  In Ruparel Iris For Sale  In Matunga East,2 BHK,2 BHK Flat  In Ruparel Iris For Sale  In Matunga East,1186 sqft,2,North-East,3.99 Crores
Builtup,4 BHK Flat  In Unique Heights For Sale  In Mahim,4 BHK,4 BHK Flat  In Unique Heights For Sale  In Mahim,2000 sqft,3,North,6.5 Crores
Builtup,"3 BHK Apartment  In Samrat Apartment Mahim, Mahim For Sale  In Mahim",3 BHK,"3 BHK Apartment  In Samrat Apartment Mahim, Mahim For Sale  In Mahim",1200 sqft,3,West,4.75 Crores
Builtup,3 BHK Flat  In Montclair  For Sale  In Mahim,3 BHK,3 BHK Flat  In Montclair  For Sale  In Mahim,1310 sqft,3,West,3.6 Crores
Builtup,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,3 BHK,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,1340 sqft,3,West,5.6 Crores
Builtup,3 BHK Flat  In Shri Rajendra Srushti For Sale  In Palghar,3 BHK,3 BHK Flat  In Shri Rajendra Srushti For Sale  In Palghar,930 sqft,3,West,34 Lacs
Builtup,3 BHK Flat  In The Solitaire For Sale  In Mahim,3 BHK,3 BHK Flat  In The Solitaire For Sale  In Mahim,1358 sqft,3,Don''t Know,5.5 Crores
Builtup,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,3 BHK,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,1350 sqft,3,West,6.25 Crores
Builtup,3 BHK Flat  In Garden Colony For Sale  In Mahim West,3 BHK,3 BHK Flat  In Garden Colony For Sale  In Mahim West,1400 sqft,3,East,5 Crores
Builtup,3 BHK Flat  In Fortune Heights Chs For Sale  In Mahim,3 BHK,3 BHK Flat  In Fortune Heights Chs For Sale  In Mahim,2000 sqft,3,West,9.75 Crores
Builtup,3 BHK Flat  In Geetha Niwas For Sale  In Mahim,3 BHK,3 BHK Flat  In Geetha Niwas For Sale  In Mahim,1312 sqft,3,East,4.25 Crores
Builtup,2 BHK Flat  In Futnani Building  For Sale  In Wadala,2 BHK,2 BHK Flat  In Futnani Building  For Sale  In Wadala,852 sqft,2,West,2.75 Crores
Builtup,3 BHK Flat  In Rajkamal Building For Sale  In Jain Derasar Lane,3 BHK,3 BHK Flat  In Rajkamal Building For Sale  In Jain Derasar Lane,1350 sqft,3,East,3.65 Crores
Builtup,2 BHK Apartment  In Dosti Florentine For Sale  In Wadala East,2 BHK,2 BHK Apartment  In Dosti Florentine For Sale  In Wadala East,1082 sqft,2,East,2.6 Crores
Builtup,3 BHK Apartment  In Sunshine Infinity For Sale  In  Wadala West,3 BHK,3 BHK Apartment  In Sunshine Infinity For Sale  In  Wadala West,1450 sqft,3,East,5.5 Crores
Builtup,3 BHK Apartment  In Sunshine Infinity For Sale  In Wadala West,3 BHK,3 BHK Apartment  In Sunshine Infinity For Sale  In Wadala West,1700 sqft,3,East,5.5 Crores
